word,frequency
career,1
acclaim,1
literari,1
today,1
time,4
follow,1
u,1
exhibit,2
gave,1
yesterday,1
2018,1
usa,2
jail,1
dhaka,1
survey,1
sphere,1
effect,1
bangladeshi,1
challeng,1
art,3
open,1
new,1
speech,1
photograph,1
reveal,1
organis,1
shahidul,5
year,1
world,2
talk,1
comprehens,1
clear,1
museum,3
pm,2
person,1
cover,1
work,2
across,3
free,1
shown,1
period,1
activist,1
bangladesh,1
york,1
power,1
support,1
four,1
intern,1
scholarli,1
alam,7
voic,1
recent,1
chang,1
incarcer,1
public,1
choic,1
decad,1
emin,1
writer,1
first,1
miss,1
rubin,2
global,1
opportun,1
field,1
truth,1
humanitarian,1
start,1
lifelong,1
cut,1
6,2
say,1
express,1
part,1
commun,1
