word,frequency
win,1
playwright,1
nation,1
danc,1
countri,1
took,1
film,2
arrang,1
7,1
birthday,2
share,1
shunipun,1
padak,1
screen,1
shilpakala,1
75,1
panchashaptatit,2
auditorium,1
director,1
programm,1
titl,1
unveil,1
abul,5
tomar,1
parishad,1
memori,1
recit,1
udjapan,1
celebr,2
person,1
29,1
book,1
renown,1
bangladesh,2
event,1
committe,1
place,1
even,1
form,1
ekushey,1
tilt,1
hayat,5
bsa,1
hey,1
direct,1
numer,1
septemb,2
besid,1
award,1
actor,1
ginni,1
short,1
compris,1
jonom,1
shilpi,1
part,1
sharthok,1
music,1
academi,1
turn,1
