word,frequency
poet,1
lyricist,1
30pm,2
nation,3
assam,2
literari,1
danc,2
today,1
subcontin,1
tomorrow,1
pioneer,1
theatr,3
product,1
produc,1
also,1
acknowledg,1
musician,1
movi,1
present,2
folk,1
filmmak,1
centr,1
singer,1
hall,1
open,1
song,1
auditorium,1
programm,1
artist,1
organis,2
dr,1
introduc,1
india,2
discus,1
paramananda,1
bangladesh,1
famou,1
sahitya,1
sabha,1
kalatirtha,1
day,1
mark,1
cinema,1
hazarika,1
anniversari,1
northeast,1
death,1
bsa,3
base,1
direct,1
cultur,2
bhupen,1
hindi,1
stori,1
level,1
asam,2
sb,1
kamalarani,1
jointli,1
show,1
6,2
8th,1
written,1
music,2
