word,frequency
manjot,1
bisht,1
other,1
produc,1
ayushmann,1
taken,1
balaji,1
flirtati,1
nidhi,1
film,1
fan,1
vijay,1
mesmeris,1
hype,1
dream,4
joy,1
prior,1
releas,2
congratul,1
starrer,1
medium,1
girl,4
annu,1
mimick,1
watch,1
social,1
singh,1
quit,1
becom,1
caller,1
knack,1
voic,1
recent,1
premier,1
lone,1
much,1
woman,1
khurrana,1
kapoor,1
bharucha,1
pooja,1
cast,2
attitud,1
nushrat,1
creat,1
success,1
telefilm,1
admir,1
raaz,1
express,1
compris,1
among,1
crew,1
