word,frequency
debi,1
nation,1
jannat,1
actress,2
attack,1
film,6
2018,4
nusrat,1
board,1
putra,1
technician,1
categori,1
imroz,1
thursday,1
khan,1
artist,1
year,1
perform,2
shovo,1
excel,1
sotta,1
ferdou,1
act,2
dhaka,1
best,4
role,1
saimon,1
joya,1
ahsan,1
judg,1
halda,1
gazett,1
accord,1
shakib,1
notif,1
28,1
govern,2
award,3
announc,1
pick,1
tisha,1
actor,2
2017,3
sadik,1
outstand,1
juri,1
arefin,1
ahm,1
select,2
