word,frequency
other,2
indian,1
prakash,1
satyajit,1
phalk,3
honour,1
javadekar,1
past,1
bachchan,2
50th,1
anand,1
filmmak,3
inform,1
humbl,1
singer,1
amitabh,2
khanna,1
director,1
love,1
congratul,1
megastar,1
johar,1
year,1
chopra,1
shashi,1
recipi,1
dadasaheb,3
lata,2
medium,1
celebr,1
posthum,1
kumar,2
social,1
dev,1
mani,1
includ,1
ever,1
ray,1
dilip,1
recent,1
rajinikanth,1
sinc,1
given,1
minist,1
shower,1
made,1
mangeshkar,2
manoj,1
writer,1
kapoor,3
karan,1
announc,1
award,4
among,2
naushad,1
actor,6
raj,1
broadcast,1
anil,1
prestigi,1
vinod,1
confer,1
yash,1
music,1
gulzar,1
last,1
