word,frequency
aatukuttiyum,1
shot,1
without,1
film,1
wide,1
oper,1
chutzpah,1
step,1
filmmak,2
onnayum,1
technic,1
tamil,5
2013,2
new,1
like,1
varieti,1
reflex,1
lack,1
make,1
auteur,1
soodhu,2
differ,1
mode,1
social,1
watch,2
wave,1
best,1
right,1
help,1
cinema,4
subbaraj,1
self,1
karthik,1
narr,1
contribut,1
boast,1
ambiti,1
bless,1
launch,1
remain,1
mysskin,1
start,1
landmark,1
guid,1
jigarthanda,1
contemporari,2
kavvum,2
