word,frequency
poet,1
lyricist,1
masdo,2
legendari,2
playback,1
bharatiya,1
danc,1
indian,1
also,1
younger,1
brother,1
highest,1
civilian,1
three,1
film,1
ajit,1
vibhushan,1
musician,1
observ,1
tuesday,1
present,1
singer,1
ratna,1
number,1
song,2
featur,1
bharat,1
saumen,1
director,1
artist,2
organis,2
dr,5
bhushan,1
surya,1
1977,1
perform,1
attend,1
india,1
discus,1
maker,1
posthum,1
assames,4
kumar,1
renown,2
music,1
includ,1
function,1
day,1
event,2
samar,1
hazarika,6
kanta,1
anniversari,1
padma,4
bhuiyan,1
death,1
bsa,2
shri,2
cultur,1
bhupen,4
2001,1
achiev,1
presid,2
award,1
2019,1
jointli,1
byatikram,2
winner,1
8th,1
2012,1
journalist,1
lucki,1
liaquat,1
ali,1
