word,frequency
comedi,1
10,1
fourth,2
man,1
accomplish,1
taken,1
nemesi,1
woodi,1
zombieland,1
849,1
movi,1
doubl,1
luke,1
black,1
current,1
lighthous,1
7,1
3,2
feat,1
r,1
million,7
blue,1
director,1
varieti,1
1,3
round,1
stone,1
return,1
8,1
gemini,1
joker,1
war,1
notori,1
week,2
becom,1
phoenix,1
impress,1
wilson,1
4,1
rate,1
accord,1
incarn,1
second,1
emma,1
star,1
histori,1
global,1
abomin,1
soni,1
11,1
2,2
top,1
tap,1
success,1
cut,1
6,1
harrelson,1
rare,1
batman,1
