word,frequency
documentari,2
main,1
200,1
mainstream,1
also,1
prostitut,1
drop,1
film,2
movi,1
examin,1
claim,1
screen,1
japanes,1
call,1
militari,3
evid,1
forc,2
ii,1
comfort,2
000,1
organis,1
concern,1
world,1
china,1
war,1
fire,1
asia,1
work,2
week,1
includ,1
battleground,1
mostli,1
suburban,1
order,1
nationalist,1
come,1
cancel,1
tokyo,1
volunt,1
sunday,1
japan,1
festiv,1
wartim,1
woman,5
safeti,1
highli,1
issu,2
said,1
insist,1
shusenjo,1
document,1
debat,1
controversi,1
offici,1
show,1
korea,1
say,1
local,1
part,1
brothel,3
object,1
recruit,1
historian,1
last,1
