word,frequency
wife,1
gauri,3
indian,1
also,1
seen,1
met,1
post,2
instagram,1
khan,2
occas,1
photograph,1
beyond,1
kal,1
believ,1
friday,1
touch,1
one,2
srk,2
tale,1
univers,1
got,1
beauti,3
best,1
affect,1
monochrom,1
pen,1
28th,1
fairi,1
take,1
rukh,2
studi,1
delhi,1
come,1
know,1
anniversari,1
wrote,1
miss,1
selfi,1
someon,1
shah,2
na,1
opportun,1
heart,1
wed,1
close,1
tell,1
along,1
ho,2
actor,2
show,1
toward,1
