word,frequency
xinhuamari,1
laureat,1
liz,1
killer,6
landmin,1
confer,2
develop,2
held,1
press,2
commun,2
found,1
un,2
wareham,3
accept,1
threshold,1
headquart,2
expect,1
lethal,2
stop,4
oct,1
prize,1
campaign,4
mari,1
photo,1
system,2
robot,7
attend,1
larger,1
jodi,1
monday,1
also,1
icbl,1
geneva,1
nobel,1
committe,1
co,1
call,1
talk,1
cross,1
therefor,1
intern,3
hope,1
new,2
fulli,1
would,1
icrac,1
must,1
prohibit,1
21,1
peac,1
think,1
research,1
urg,1
realli,1
global,2
william,1
arm,1
coordin,3
control,1
said,3
believ,1
sullivan,1
autonom,3
weapon,3
2019,1
find,1
york,2
r,1
ban,1
l,1
