word,frequency
govern,1
nation,1
propos,2
risk,1
tie,1
digit,4
financ,2
facebook,1
begin,1
marcu,2
central,1
stablecoin,1
address,1
tri,1
network,2
afpfacebook,1
fear,1
sunday,1
u,1
launder,1
libra,4
differ,1
clear,1
photo,1
pose,1
like,1
threaten,1
offici,2
long,1
compani,2
concern,1
calm,1
block,1
would,1
terror,1
david,1
use,1
one,1
singl,1
money,1
bank,1
work,1
execut,2
currenc,5
challeng,1
involv,1
worri,1
bitcoin,1
control,2
said,1
regul,1
say,2
payment,1
