word,frequency
mark,1
profit,1
ceo,1
steep,1
take,1
facebook,4
waysid,1
consid,1
thrown,1
conserv,2
donald,1
even,1
avail,1
provid,1
content,2
refus,1
platform,3
site,1
video,1
support,1
georgetown,1
livestream,1
democraci,1
trump,1
accus,1
defend,1
bia,1
censor,1
organ,1
shot,1
standard,1
social,3
disproportion,1
educ,1
instead,1
power,1
one,1
drawn,1
thursday,1
free,2
anti,1
zuckerberg,1
go,1
public,1
presid,1
speech,2
thirst,1
alli,1
medium,3
made,1
ask,1
newsworthi,1
