word,frequency
govern,2
better,1
censorship,1
electron,1
found,1
countri,1
mani,1
citizen,1
protest,1
monitor,2
ai,1
constitut,1
market,1
around,1
trend,1
nonprofit,1
analyz,1
platform,1
conduct,1
annual,1
democraci,1
group,1
least,1
unregul,1
report,2
program,1
offici,1
propaganda,1
activ,1
social,5
devic,1
tuesday,1
glean,1
warrantless,1
drive,1
use,1
surveil,2
travel,1
peac,1
human,1
hous,2
40,1
worrisom,1
work,1
world,1
manipul,1
increasingli,2
protect,1
critic,1
evid,1
inform,1
mike,1
said,2
65,1
find,1
watchdog,1
advanc,2
abramowitz,1
presid,1
freedom,3
onlin,1
boom,1
medium,5
search,1
elect,1
right,1
