word,frequency
told,1
investig,1
child,2
scientist,1
immun,3
led,1
studi,1
epidemiologist,1
deleteri,1
realis,1
found,1
harm,1
effect,1
mean,1
viru,2
netherland,1
howard,1
wipe,1
newborn,1
era,1
pathogen,1
bodi,1
77,1
system,1
analysi,1
coauthor,2
unvaccin,1
elledg,1
harvard,2
thought,1
memori,2
mena,1
intern,1
sort,2
new,1
previou,1
rise,1
babi,1
naiv,1
valuabl,1
left,1
vaccin,1
institut,1
carri,1
much,2
close,1
research,1
hugh,1
childhood,1
team,1
global,1
afp,1
measl,1
stephen,1
diseas,1
michael,1
said,1
previous,1
reset,1
contagi,1
medic,1
state,1
back,1
