word,frequency
test,1
face,1
span,1
privaci,1
convers,1
authent,1
handset,1
want,1
set,1
time,1
unlock,3
post,1
way,1
conveni,1
featur,1
blog,1
provid,1
need,1
earlier,1
head,1
app,1
iphon,2
user,2
launch,1
short,1
enabl,1
id,2
touch,1
whatsapp,3
access,1
beta,1
account,1
arriv,1
secur,2
roll,1
android,2
quit,1
extra,1
biometr,1
final,2
fingerprint,2
layer,1
everi,1
devic,1
year,1
made,1
may,1
state,1
back,1
