word,frequency
risk,1
ceo,1
facebook,2
effect,1
commerci,1
conserv,1
15,1
signific,1
twitter,2
trump,2
enforc,1
censor,1
defend,1
divid,1
democrat,1
attempt,1
bill,1
biden,1
news,2
journalist,1
think,1
releas,1
say,1
polici,1
incred,1
face,1
politician,1
russo,1
confer,1
polit,4
america,1
parscal,1
choic,1
donald,1
camp,1
silenc,1
bbc,1
campaign,2
bring,1
tweet,1
democraci,2
call,1
anoth,1
social,1
full,1
founder,1
joe,1
encourag,1
runner,1
move,1
win,1
bought,1
spokesman,1
2020,1
zuckerberg,1
detail,1
right,1
manag,1
rival,1
react,1
brad,1
earn,1
dollar,1
compani,3
yet,1
left,1
revenu,1
medium,1
mark,1
privat,1
rule,1
integr,1
recent,1
22,1
advertis,3
jack,1
worldwid,1
report,1
messag,1
front,1
power,2
ad,2
reach,1
internet,1
novemb,2
dorsey,1
presid,1
said,3
ban,5
elect,3
