word,frequency
anim,1
speci,2
deer,1
preserv,1
river,1
diver,1
fossil,2
000,1
relat,1
modern,1
illumin,1
impress,1
day,1
unearth,1
cow,1
floodplain,1
thousand,1
time,2
16,1
becom,1
sixteen,1
within,1
pollen,1
bodi,1
pig,1
leaf,1
fossilis,1
ungul,1
buri,1
100,1
extinct,2
like,1
bigger,1
discov,1
plant,2
group,1
immedi,1
archaic,1
mysteri,1
700,1
interv,1
call,1
shroud,1
includ,1
petrifi,1
well,1
wood,1
live,1
colorado,1
mass,3
spring,1
bone,1
east,1
skull,1
year,1
mammal,4
belong,1
hoof,1
