word,frequency
rainfal,1
speci,1
scientist,2
studi,1
000,2
modern,3
hay,1
today,1
sapien,2
first,1
anatom,2
exactli,1
mankind,1
130,1
origin,1
around,1
200,1
northern,1
pinpoint,1
monday,1
discov,1
group,1
precis,2
talk,1
corridor,1
claim,1
long,1
africa,1
creat,1
yet,1
northeast,1
locat,2
ancestr,1
birthplac,1
appear,1
ago,2
region,1
green,1
human,3
live,1
homeland,3
migrat,1
botswana,1
known,2
peopl,1
homo,1
emerg,1
said,1
year,2
unabl,1
