word,frequency
jane,1
hospit,1
10,1
chandrima,1
vehicl,3
taken,1
appear,1
u,1
masud,2
three,2
driver,1
footpath,1
inspector,2
banglanagar,2
road,1
udyan,1
side,1
mohsin,1
hit,1
pervez,2
investig,1
rampura,1
munshi,1
charg,1
friday,1
station,2
accid,1
peopl,2
opposit,1
member,1
leav,1
islam,1
carri,1
includ,1
motorbik,2
two,1
cop,1
alam,1
take,1
come,1
around,1
injur,4
akidul,1
lamp,1
00am,1
offic,1
e,2
central,1
direct,1
polic,4
near,1
said,2
sher,2
plough,1
citi,1
rajarbagh,1
front,1
ansar,1
give,1
post,1
turn,1
