word,frequency
join,2
senior,1
nation,1
today,1
also,1
countri,1
time,1
obaidul,1
awami,1
resign,1
road,1
outcom,1
infiltr,1
clean,1
polit,2
intrud,2
rajshahi,1
council,1
parti,3
hold,1
wrongdoer,1
one,1
nasim,1
view,1
transport,1
quader,2
person,1
work,1
motion,1
repli,1
mani,1
oldest,1
problem,1
al,7
secretari,2
rather,1
organ,1
triennial,1
committe,1
district,1
unit,1
neg,1
bridg,1
gener,2
minist,1
bnp,2
later,1
offic,1
central,2
said,4
imag,1
question,1
leader,3
exchang,1
leagu,1
