word,frequency
ashrafuzzaman,1
spot,1
chanpara,1
man,1
taken,1
mohammad,1
took,1
dead,1
son,1
bound,1
complex,1
road,1
back,1
immedi,1
identifi,1
abu,1
thursday,1
9,1
hit,2
charg,1
debdaru,1
haidar,1
station,1
accid,2
truck,2
pm,1
boda,4
deceas,1
anoth,1
motorbik,2
district,2
sukumar,2
area,1
town,1
place,1
rush,1
around,1
kill,1
found,1
injur,2
offic,1
upazila,2
oc,1
polic,1
said,1
debiganj,2
panchagarh,2
rajkumar,2
local,1
35,1
health,1
night,1
