word,frequency
2014,1
also,1
follow,1
taken,2
newsman,1
vc,1
yesterday,1
would,1
otherwis,1
legal,2
alleg,3
publish,1
pabna,1
prove,2
remark,1
distribut,1
trust,1
capit,1
action,3
pust,1
assist,1
peopl,1
liber,1
make,1
initi,1
war,1
vice,1
technolog,1
thousand,1
univers,3
tortur,1
1971,1
unrest,1
give,1
function,1
prime,4
go,1
anarchi,1
corrupt,2
fail,1
came,1
minist,4
fund,1
chancellor,1
offic,1
agoni,1
5,1
woman,1
seed,1
said,2
crore,1
taka,1
stori,1
request,1
creat,1
hasina,2
among,1
sheikh,2
face,1
scienc,1
jahangirnagar,1
bring,1
money,1
journalist,1
inhumanli,1
