word,frequency
west,1
mongla,2
shelter,2
ad,1
bay,3
advis,2
three,1
east,1
north,2
met,2
bulbul,1
port,4
northwestward,1
centr,2
cox,2
cautionari,1
immedi,1
chattogram,2
special,1
high,1
notic,1
number,2
sever,2
maritim,1
hoist,1
fish,1
710,1
till,1
friday,1
adjoin,1
payraport,1
weather,1
payra,1
650,1
four,1
take,1
move,1
instead,1
area,1
trawler,1
warn,1
km,4
760,1
offic,2
central,2
said,1
near,1
sea,1
bulletin,1
remain,2
southwest,4
bazar,2
lower,1
signal,2
6,1
local,2
665,1
boat,1
storm,1
cyclon,2
