word,frequency
flag,1
jhenaidah,2
other,1
tri,1
home,1
sumon,1
shot,3
dead,2
men,1
border,4
134,1
guard,1
novemb,1
shilgat,1
3,1
bangladeshi,2
youth,2
forc,1
60,1
director,1
kamrul,1
hold,1
friday,1
india,1
secur,1
polianpur,1
unb,1
earlier,1
moheshpur,1
bgb,2
pillar,1
earli,1
anoth,1
bangladesh,1
bodi,1
ahsan,1
went,1
area,1
cattl,1
meet,1
58,1
133,1
upazila,2
said,1
near,1
bsf,2
along,1
bring,2
report,1
