word,frequency
camp,1
well,1
august,1
teknaf,1
crackdown,1
voluntari,2
u,2
press,1
need,1
prioritis,1
pacif,1
state,3
host,1
rohingya,7
cox,1
asian,1
alic,2
million,1
25,1
militari,1
thursday,1
amid,1
1,2
year,1
confid,1
assist,1
safe,2
lack,1
myanmar,2
act,1
work,1
indo,1
affair,1
confer,1
bangladesh,1
secretari,1
must,1
acceler,1
intern,1
two,1
due,1
favour,1
thailand,1
build,1
sinc,1
dignifi,2
last,1
atmospher,1
rakhin,3
repatri,5
offic,1
commission,1
shamlapur,1
central,1
upazila,1
enter,1
said,4
issu,1
refuge,1
relief,1
bazar,1
creat,1
among,1
offici,1
brief,1
2017,1
south,1
conduc,1
visit,1
environ,1
failur,1
singl,1
commun,1
speak,1
