word,frequency
dhanmondi,1
bithi,1
akhter,1
hous,1
floor,1
metropolitan,2
afroza,1
confess,1
19,1
magistr,1
65,1
agargaon,1
involv,1
detect,1
jail,1
db,1
novemb,1
road,1
connect,1
thursday,1
recov,1
key,1
suspect,1
ansari,1
1,1
dmp,1
investig,1
transfer,1
domest,2
21,1
unb,1
drive,1
arrest,1
surovi,1
dhaka,3
third,1
bodi,1
help,2
case,1
court,2
nahida,2
murder,2
area,2
judg,1
flat,1
confession,1
statement,1
record,1
begum,1
woman,1
28,1
polic,2
monday,2
citi,2
sorafuzzaman,1
file,1
branch,1
sent,1
report,1
