word,frequency
quot,1
wife,3
bring,1
nation,2
zone,1
illeg,2
home,1
indian,1
countri,1
produc,1
also,2
ad,2
milli,1
three,1
jail,1
outlet,1
alleg,2
bangladeshi,3
ii,1
parent,1
identifi,1
child,2
khan,1
charg,1
dcp,1
hussain,1
held,1
india,2
detain,3
medium,1
judici,1
remand,1
hindu,2
six,3
uday,1
nargi,1
court,2
day,1
wednesday,2
resid,1
bhaskar,1
jakir,1
moham,4
begum,1
enter,1
polic,1
said,2
citi,1
along,1
sajidulkha,1
abdullah,1
kolkata,1
visakhapatnam,1
land,1
fathima,1
sent,2
report,1
14,1
