word,frequency
main,1
nation,1
pp,1
cubic,1
today,1
feder,1
300,1
nuclear,1
chair,1
execut,1
physic,2
447,1
involv,1
tuesday,1
oper,1
acr,1
3,1
council,1
protect,2
nec,1
cost,1
76,1
concern,1
1,1
held,1
678,1
tk,2
rooppur,1
214,1
ecnec,4
secur,1
cooper,1
plant,1
econom,1
work,1
room,1
mannan,1
includ,2
overal,1
05,1
six,2
power,1
prime,1
bangladesh,1
committe,1
4,1
project,5
449,1
armi,1
meet,2
came,1
minist,2
public,1
approv,3
expert,1
crore,2
said,2
system,2
implement,1
counterpart,1
russian,1
develop,1
chairperson,1
metr,1
acquisit,1
hasina,1
sheikh,1
brief,1
confer,1
land,2
estim,1
report,1
plan,1
