word,frequency
today,1
676,1
314,1
gold,1
share,2
85,1
nse,1
528,1
post,1
3,2
r,8
high,1
582,1
open,1
valu,1
9,1
719,1
intraday,1
standalon,1
1,3
year,3
profit,1
manufactur,1
incom,1
net,1
watch,2
growth,1
revenu,1
compar,1
165,1
due,1
4,1
price,2
subdu,1
283,1
busi,2
record,2
tank,1
previou,1
crore,5
said,1
compani,2
titan,3
bse,2
close,1
600,1
quarter,2
low,1
lower,1
38,1
6,2
jewelleri,2
last,3
