word,frequency
1907,1
well,1
smallest,1
1950,1
product,1
pioneer,1
crimelong,1
countri,2
also,2
human,1
seen,1
soccer,1
elect,1
diego,1
forlan,1
legal,1
becam,1
3,1
latin,2
2013,1
million,1
sale,1
27,1
footbal,1
increas,1
hold,1
introduc,1
world,2
year,1
champion,1
edinson,1
lui,1
peopl,1
presidenti,1
twice,1
abolish,1
pioneerhom,1
crown,1
suarez,1
cavani,1
peac,1
right,3
penalti,1
volatil,1
famou,1
4,1
recent,1
1927,1
america,2
death,1
first,1
woman,1
star,1
uruguay,5
stabl,1
consid,1
among,2
rise,1
octob,1
crime,1
1930,1
marijuana,1
vote,1
