word,frequency
agre,1
commerc,1
tri,1
hundr,1
proport,1
ministri,1
trade,3
hammer,1
roll,1
state,1
finalis,1
hope,1
side,2
back,1
billion,1
deal,3
thursday,1
reach,2
tariff,3
year,1
agreement,3
china,2
grow,1
stage,1
negoti,2
one,1
war,1
simultan,1
fine,1
phase,1
stress,1
punit,1
give,1
two,4
go,1
unit,1
move,1
mini,1
gao,1
wider,1
note,1
said,2
detail,1
remov,1
good,1
close,1
embroil,1
along,2
impos,1
trump,1
want,1
bruis,1
dollar,1
worth,1
repeatedli,1
part,1
way,2
slap,1
plan,1
