word,frequency
wage,1
august,1
0,3
zone,1
unemploy,1
product,2
countri,1
non,2
swing,1
19,1
term,1
share,1
7,1
point,1
3,2
proxi,1
sale,5
le,1
1,4
year,7
sustain,1
domest,2
drink,1
gradual,1
euro,2
support,1
union,1
acceler,2
data,1
growth,1
fell,1
wednesday,1
europ,1
4,3
percent,8
gain,1
retail,4
offic,2
previou,1
said,2
septemb,1
2,2
11,1
rose,3
eurostat,1
low,1
month,5
food,4
statist,2
show,1
6,1
tobacco,1
prone,1
european,1
expect,1
demand,2
