word,frequency
mahmudullah,2
best,1
chanc,1
confer,1
take,1
huge,1
match,4
unassail,1
horn,1
two,1
lock,1
histori,2
indian,1
brink,1
first,1
india,3
pre,1
six,3
need,1
mere,1
stand,1
confirm,1
magnitud,1
captain,2
wednesday,1
second,2
tomorrow,1
row,1
oversea,1
host,1
1st,1
hit,2
stadium,1
lead,1
would,2
t20,1
50,2
three,2
associ,1
beat,1
rajkot,1
team,1
riyad,1
win,2
t20i,3
bilater,1
said,1
victori,3
soil,1
saurashtra,1
seri,4
bangladesh,5
cricket,2
