word,frequency
south,1
yesterday,1
open,2
got,2
medal,3
nepal,1
day,4
two,2
bijoy,1
today,1
245,1
gold,4
bronz,1
featur,1
india,2
indoor,1
silver,1
event,2
conclud,1
asian,1
grab,1
ahm,1
prashanta,1
bhutan,1
5th,1
dhaka,1
stadium,1
tajuddin,1
four,2
sri,2
snatch,1
lanka,2
one,1
three,1
shahe,1
team,1
karat,1
competitor,1
courtesi,1
junior,1
underway,1
came,1
men,1
kata,1
championship,1
rabbi,1
bangladesh,3
