word,frequency
woman,4
sanjida,1
210,1
draw,1
end,1
start,1
contribut,1
tour,2
4,1
match,3
pakistan,4
day,1
two,1
first,2
lose,1
whitewash,1
frustrat,1
over,1
lahor,2
among,1
20,1
gaddafi,1
earlier,2
run,2
captain,1
rumana,1
monday,1
thrill,1
second,1
last,1
host,3
ahm,1
31,1
stadium,1
venu,1
48,1
wicket,1
1,2
other,1
t20,1
one,1
three,1
saturday,1
team,4
29,1
toss,1
win,1
27,1
sultana,1
bat,1
victori,1
sharmin,1
odi,3
islam,1
seri,3
made,1
elect,1
bangladesh,4
cricket,1
