word,frequency
pollut,1
told,1
south,1
real,1
maha,1
550,1
gujarat,3
rain,1
next,1
sever,1
6,1
match,1
level,1
central,1
7,1
air,1
recurv,1
caus,1
first,1
coast,2
india,1
cyclon,2
sarkar,1
hazard,1
imd,1
storm,2
southwest,2
100,1
pti,1
monday,1
disrupt,1
heavi,2
threaten,1
affect,1
part,1
possibl,1
director,1
toward,2
center,1
oman,1
580,1
lay,1
region,1
delhi,1
move,1
rajkot,3
km,1
diu,1
jayanta,1
novemb,1
t20i,1
thursday,1
kilometr,2
saurashtra,1
verav,1
seri,1
bangladesh,1
