word,frequency
woman,3
south,1
clinch,1
open,1
take,1
yash,1
ferdou,1
day,1
nayem,1
bijoy,1
senior,1
sahadul,1
gold,1
jannatul,1
bronz,1
india,1
indoor,1
silver,1
split,1
event,4
friday,1
bidhan,1
ajanka,1
asian,1
group,1
ahm,1
part,1
stadium,1
tayem,1
cadet,4
sumi,1
tajuddin,1
lead,1
four,1
souvon,1
21,3
shahe,1
beat,1
team,5
jayanti,1
karat,1
60,1
meet,1
junior,4
karateka,1
proshanto,1
men,5
kata,3
individu,5
2019,1
championship,1
hawladar,1
rabbi,1
bangladesh,3
