word,frequency
action,1
handanov,1
f,1
achraf,1
atop,1
chanc,1
half,1
two,2
samir,1
u,1
first,1
champion,1
game,1
uefa,1
borussia,2
chairman,1
enough,1
slip,1
stage,1
stand,1
brace,1
bvb,1
18,1
give,1
brandt,1
second,1
group,2
mario,1
round,1
inter,4
han,1
joachim,1
call,1
comeback,1
creat,1
upcom,1
milan,3
tuesday,1
julian,1
goal,3
minut,1
snatch,1
3,1
dortmund,4
leagu,1
place,1
one,1
three,1
play,1
secur,1
effort,1
move,1
fourth,1
goalkeep,1
watzk,1
win,2
impetu,1
meanwhil,1
point,1
said,1
third,1
victori,1
ralli,1
hakimi,2
gotz,1
2,1
back,1
