word,frequency
could,1
card,1
mahmudullah,1
best,1
inde,1
chanc,1
confer,1
huge,1
match,3
horn,1
stat,1
today,1
lock,1
histori,1
brink,1
gain,1
first,1
india,3
pre,1
mere,1
stand,1
confirm,1
magnitud,1
captain,1
wednesday,1
momentum,1
also,1
motiv,1
second,1
host,1
stadium,1
tiger,1
seem,1
would,1
player,1
wicket,1
t20,1
use,1
three,1
associ,1
beat,1
rajkot,1
riyad,1
win,1
said,1
victori,3
confid,1
saurashtra,1
thrash,1
seven,1
seri,3
bangladesh,2
cricket,1
