word,frequency
man,1
real,2
trebl,1
race,1
benzema,3
half,1
6,1
match,1
0,1
photorodrygo,1
footbal,1
two,1
time,1
histori,1
celebr,1
bernabeu,1
frenchman,1
champion,2
uefa,1
complet,1
poke,1
make,1
away,1
five,1
score,3
humili,1
late,2
knock,1
injuri,1
stage,1
wednesday,2
second,2
group,1
hat,1
sensat,1
fastest,1
tap,1
fifth,1
far,1
stadium,1
yet,1
left,1
goal,1
ad,1
leagu,2
moment,1
galatasaray,2
close,1
leav,1
forward,2
pas,1
karim,1
afp,1
exchang,1
rang,1
rodrygo,4
santiago,1
r,1
trick,1
madrid,3
incred,1
