word,frequency
mahmudullah,1
target,1
led,1
take,2
open,1
ea,1
shakib,1
match,2
unassail,1
side,1
33,1
tamim,1
name,2
modest,1
record,1
sunday,1
first,2
shortest,1
verg,1
india,3
apart,1
six,1
rubber,1
second,1
hasan,1
last,1
host,1
anoth,1
stadium,1
lead,1
al,1
149,1
sharma,1
blue,1
ad,1
wicket,2
skipper,1
stun,1
41,1
three,1
associ,1
delhi,1
beat,1
riyad,1
iqbal,1
t20i,3
thursday,1
aim,1
format,1
men,1
rohit,1
victori,1
chase,1
saurashtra,1
seven,2
seri,2
ban,1
bangladesh,3
cricket,2
