word,frequency
woke,1
depart,1
nearli,1
earli,1
maha,2
forecast,2
persist,1
chanc,1
start,1
gujarat,1
rain,1
6,1
meteorolog,1
match,1
schedul,1
day,1
inclement,1
weather,2
time,1
indian,1
caus,1
india,2
even,1
cyclon,2
sunni,1
per,2
remain,1
eastern,1
imd,2
wednesday,1
thunder,1
condit,1
second,1
heavi,3
threaten,1
part,1
shah,1
weaken,1
previou,1
hit,1
though,1
stadium,1
morn,1
downpour,1
cloudi,1
associ,1
drainag,1
move,1
rajkot,3
threat,2
loom,1
novemb,1
facil,1
t20i,1
increas,1
reduc,1
say,1
materialis,1
confid,1
saurashtra,1
land,1
bangladesh,1
cricket,1
