word,frequency
nation,1
pollut,2
haze,1
face,1
ecolog,1
board,1
pitch,2
held,1
match,2
shut,1
two,1
time,1
air,2
smog,1
caus,1
citi,1
india,1
remain,1
insist,1
soumya,1
sarkar,1
eye,1
photo,1
school,1
bangladeshi,1
capit,1
reportedli,1
intern,1
continu,1
deter,1
horrifi,1
player,1
collect,1
one,1
delhi,3
ongo,1
health,1
poison,1
declar,1
teammat,1
public,1
due,1
emerg,1
crisi,1
choke,1
burn,1
qualiti,1
vomit,2
bangladesh,2
cricket,3
