word,frequency
mahmudullah,1
target,1
open,1
6,1
scorer,1
two,1
da,1
partnership,1
top,1
30,2
modest,1
india,2
naim,2
soumya,1
make,1
sarkar,1
36,1
20,1
kept,1
six,1
el,1
need,1
captain,1
run,1
also,1
second,1
ball,3
153,1
liton,2
fire,1
31,1
tempo,1
hit,1
four,3
t20,1
21,2
one,1
inning,1
histor,1
rajkot,1
29,1
60,1
courtesi,1
bowl,1
toss,1
help,1
win,2
thursday,1
attack,1
save,1
chase,1
seal,1
mohammad,1
seri,2
made,1
ask,1
bangladesh,3
