word,frequency
trade,2
countri,1
also,1
speaker,1
accept,1
termin,1
downgrad,1
autonomi,1
speedi,2
ban,1
asia,1
scrap,1
pirojpur,1
europ,1
limit,1
polic,1
bu,1
say,1
hossain,1
deputi,1
hayatul,1
belgium,1
u,1
plastic,2
destruct,1
khan,2
india,1
pm,1
islam,1
threat,1
affect,1
rather,1
two,1
impact,1
resid,1
narendra,2
minist,4
said,1
implement,2
inaugur,1
md,1
superintend,1
sheikh,1
south,1
term,2
card,2
pta,2
indian,2
bold,1
longer,1
sazzad,1
tackl,1
play,2
agreement,1
shelf,1
prime,4
modi,3
long,2
commission,1
violent,2
emphasi,1
hasina,1
last,2
ali,1
commerc,1
occupi,1
need,1
yesterday,1
lay,1
abu,1
preferenti,1
decis,1
disput,1
stress,2
extrem,2
region,1
zila,1
bangladesh,1
use,2
integr,1
stop,2
imran,1
boost,1
servic,1
singl,2
kashmir,1
morn,1
nepal,2
confer,1
necess,1
plan,4
