word,frequency
wife,1
fuss,1
countri,1
baghdadi,2
took,1
telephon,1
13,1
state,3
donald,1
washington,1
would,1
captur,1
erdogan,3
novemb,1
host,1
oper,1
call,1
turkish,2
amid,1
make,1
turkey,1
week,1
reconfirm,1
two,2
unit,3
next,1
wednesday,2
invit,1
travel,1
heighten,1
meet,2
tension,1
forward,1
convers,1
death,1
said,3
issu,1
presid,3
good,1
tayyip,1
start,1
recep,1
comment,1
tweet,1
swipe,1
leader,1
say,2
big,2
contrast,1
trump,3
commun,1
look,1
