word,frequency
outpost,1
toll,1
attack,2
rebel,2
man,1
least,1
7,1
seek,1
border,1
state,1
tuesday,1
oper,1
15,1
centr,1
militari,1
major,1
autonomi,1
buddhist,1
ago,1
detent,2
coma,1
000,1
suspect,1
spokesman,1
night,1
year,2
peopl,3
thai,2
interrog,1
specul,1
wrack,1
region,1
notori,1
grip,1
malay,1
anoth,1
muslim,3
esormusor,1
four,2
day,1
late,1
retaliatori,1
area,1
thailand,1
violenc,2
armi,1
come,1
kill,3
centuri,1
injur,1
fifteen,1
colonis,1
death,2
insurg,1
distinct,1
fight,1
said,1
bloodi,1
cultur,1
fuell,1
abdulloh,2
left,1
month,1
south,2
largest,1
malaysia,1
wenesday,1
last,1
