word,frequency
suprem,1
see,1
taken,1
u,1
nuclear,1
yesterday,1
enrich,1
iran,1
jail,1
state,1
donald,1
step,3
foundat,2
back,1
polit,1
lula,1
crimin,1
call,2
million,1
new,1
overturn,1
thursday,1
deal,1
could,1
fine,2
resum,1
convict,1
plant,1
uranium,1
brazil,2
freed,1
appeal,1
lose,1
go,1
court,2
order,1
unit,1
2m,1
judg,1
rule,1
misus,2
charit,1
verdict,1
interest,1
requir,1
pay,1
busi,1
first,1
chariti,2
2015,1
presid,1
2,1
commit,1
array,1
fordow,1
seriou,2
trump,2
underground,1
vote,1
