word,frequency
parliament,1
budget,1
countri,2
chosen,1
current,1
new,1
mp,1
deal,2
sorri,1
leav,2
rush,1
sinc,1
caretak,1
woman,2
prepar,2
say,1
schedul,1
44,1
european,1
vote,3
turn,1
eu,3
elect,1
sophi,1
british,2
referendum,1
pm,2
week,1
law,1
nigel,1
next,2
take,1
brexit,5
percent,1
choos,1
minist,5
timet,1
second,1
said,1
month,1
reject,1
divorc,2
bori,3
wilm,1
stand,1
back,1
31,2
polit,1
attempt,1
final,1
figurehead,1
date,1
prime,4
union,1
delay,2
farag,1
departur,1
avoid,1
belgian,2
june,1
landmark,1
briton,1
advisori,1
damag,1
nation,1
48,1
yesterday,1
uk,1
ahead,1
push,1
apologis,1
make,1
michel,1
23,1
johnson,5
charl,1
premier,1
gener,1
ram,1
name,1
2016,2
first,2
28,1
fresh,1
52,1
octob,2
britain,1
