word,frequency
polygami,1
illeg,1
time,2
lopez,1
need,1
american,1
state,3
wipe,1
traffick,1
cartel,2
respond,1
million,1
industri,1
mexico,1
turf,1
year,1
durazo,1
may,1
descend,1
profit,1
war,2
secur,1
mormon,1
caught,1
typic,1
tradit,1
includ,1
lebaron,2
famili,2
help,1
persecut,1
late,1
unit,3
rival,1
gun,1
minist,1
gener,1
127,1
firearm,1
crack,1
obrador,1
first,1
said,1
target,2
drug,2
crossfir,1
face,1
mexican,1
alfonso,1
mistakenli,1
earth,1
1800,1
fled,1
estim,1
wage,1
commun,1
