word,frequency
nation,2
10,1
home,1
countri,3
human,1
lumpur,1
mu,1
rescu,1
stand,1
hun,2
warrant,1
border,1
un,1
resettl,1
asian,1
exil,1
kuala,1
decis,1
deploy,1
parti,1
anoth,1
troop,1
commiss,1
held,1
associ,1
sochua,2
thai,1
opposit,2
make,1
author,1
phnom,1
tenet,1
arrest,2
member,1
earlier,1
region,1
work,1
fli,1
southeast,1
week,1
affair,1
bulli,1
cnrp,2
activist,1
sought,1
two,1
rainsi,2
right,1
late,1
stop,2
neighbour,2
wednesday,1
agenc,1
thailand,1
travel,1
cambodian,2
airport,1
process,1
crack,1
penh,1
said,3
uphold,1
govern,1
refuge,1
cambodia,3
leader,1
interfer,1
say,1
land,1
malaysia,4
sent,1
sen,2
deputi,1
dirti,1
