word,frequency
creed,1
varsiti,1
follow,1
faculti,2
basi,2
rajesh,1
banara,1
interview,1
full,1
elig,2
dharm,1
howev,1
discrimin,1
per,2
vidya,1
sanskrit,1
commiss,1
spokesman,1
assist,1
vigyan,1
clear,1
depart,2
svdv,2
univers,2
act,2
singh,1
hindu,1
muslim,1
appoint,5
sahitya,1
literatur,2
protest,1
place,1
rule,2
candid,2
made,5
bhu,5
ugc,2
professor,1
transpar,2
base,1
manner,1
said,1
grant,1
cast,1
trigger,1
administr,1
