word,frequency
other,1
samawa,1
nasiriyah,1
shot,1
checkpoint,1
dead,1
state,1
wit,1
headquart,1
noth,1
guard,1
road,1
hour,1
forc,5
iranian,1
medic,1
open,1
round,1
mass,1
stone,1
peopl,1
one,1
secur,5
fire,3
bullet,1
live,1
outsid,1
iraqi,2
intend,1
four,1
protest,4
stop,1
young,1
anti,1
baghdad,2
20,1
wound,1
kill,1
accord,1
consul,1
karbala,1
mission,1
erect,1
demonstr,1
said,3
monday,2
near,1
polic,1
govern,1
hillah,1
holi,1
citi,1
sourc,1
televis,1
curfew,1
impos,1
offici,1
cut,1
dispers,1
