word,frequency
win,1
unravel,1
lead,1
time,1
inácio,1
seen,1
three,1
elect,1
jail,1
favourit,1
lula,1
crimin,2
immedi,1
major,2
overturn,2
thursday,1
deal,1
custodi,1
imprison,1
ex,1
investig,1
suspect,2
could,1
year,2
implic,1
presidenti,1
old,1
prosecutor,1
negoti,1
secur,1
convict,2
option,1
stipul,1
brazil,1
freed,1
appeal,2
encourag,1
plea,1
help,1
go,1
court,1
da,1
silva,1
chang,1
corrupt,2
measur,1
rule,3
threaten,1
prison,2
presid,1
top,1
luiz,1
announc,1
probe,1
exhaust,2
vote,1
last,1
