word,frequency
condemn,1
today,1
time,1
countri,1
abstain,1
u,2
caus,1
three,1
economi,1
need,1
combat,1
influenc,1
claim,1
un,3
former,1
call,1
billion,1
obama,1
60,1
thursday,1
amid,1
decis,1
year,2
brazilian,1
cuba,4
embargo,2
old,1
end,1
embarrass,1
nearli,1
ernesto,1
28th,1
stop,1
assembl,1
minist,1
gener,1
havana,1
138,1
within,1
annual,1
2016,1
damag,1
first,1
base,1
barack,1
said,2
row,1
system,1
presid,1
rapproch,1
develop,1
commun,1
island,1
187,1
dollar,1
histor,1
foreign,1
vote,3
araujo,2
