word,frequency
200,1
repeat,1
home,1
1528,1
state,1
toler,1
belong,1
million,1
display,1
navaid,1
per,1
cent,1
organis,1
ayodhya,1
site,1
india,2
mushawarat,1
maintain,1
majli,1
built,1
mosqu,1
thousand,1
islam,1
publicli,1
singh,1
hindu,3
muslim,6
religi,1
peac,1
court,2
ruler,1
violenc,1
exist,1
hamid,2
verdict,2
popul,1
5,1
e,1
uttar,1
said,3
presid,1
forum,1
top,1
harmoni,1
templ,1
commun,1
den,1
reaction,1
say,1
pradesh,1
leader,1
vow,1
land,1
group,1
1992,1
