word,frequency
suprem,1
other,1
defi,1
also,1
non,1
iran,2
new,1
action,1
label,1
earli,1
al,1
neighbour,1
ameri,1
hadi,1
came,1
sunday,1
consul,1
ayatollah,1
presid,1
paramilitari,1
vote,1
tri,1
u,1
welfar,1
elect,1
year,1
pm,1
social,1
support,1
law,1
protest,3
crowd,1
karbala,1
prop,1
tenuou,1
overthrow,1
drive,1
mahdi,3
agre,1
propos,1
moqtada,1
increas,1
populist,1
sadr,1
around,1
lebanon,1
embattl,1
previou,1
violent,1
slam,1
govern,1
partnership,1
fraysth,1
abdel,3
barham,1
ali,1
iraq,1
adel,1
ago,1
campaign,1
conspiraci,1
end,1
spread,1
plea,1
power,1
late,1
even,1
premier,1
cleric,1
saleh,1
gather,1
announc,1
accus,1
leader,2
hire,1
khamenei,1
night,1
