word,frequency
eu,2
zone,1
repeat,1
countri,1
hungarian,1
ad,1
eager,1
oper,1
erdogan,5
call,1
turkish,2
million,1
thank,1
open,2
thursday,1
flee,1
held,1
orban,2
safe,1
ankara,1
member,1
provid,2
threat,1
talk,1
kazakhstan,1
person,1
support,3
prime,1
go,1
intern,1
hungari,1
europ,1
meet,1
minist,1
l,1
gate,2
obviou,1
syrian,1
unless,1
presid,2
viktor,1
refuge,1
tayyip,2
financi,1
recep,2
creat,1
month,1
visit,1
plan,1
last,1
